classification,mean,median,count,sum
Extreme Greed,67.89286133909282,0.0,39992,2715171.310673
Fear,54.2903996254993,0.0,61837,3357155.441642
Greed,42.74355948851957,0.0,50303,2150129.272951
Extreme Fear,34.53786207897196,0.0,21400,739110.24849
Neutral,34.30771839807886,0.0,37686,1292920.67555
